Happy,Anger,Sadness,Surprise,Fear,Disgust,Contempt,Neutral
5b88tNINg4Q4nrRbrCXUmg,Don’t Look Back In Anger/Oasis,,,,,,
3sw1PM6wj5aUq3kDrHJsk8,Killing In The Name/Rage Against The Machine,,,,,,
61S0mEfdRtJ62Fc7fPqx0U,One Step Closer/Linkin Park,,,,,,
5t9KYe0Fhd5cW6UYT4qP8f,Throne/Bring Me The Horizon,,,,,,
3YJ6K4D5dT4iGTrpcKUI6Y,Since U Been Gone/Kelly Clarkson,,,,,,
2zjt2hHBbiv5SuxYg8Z7eP,"Don’t Get Mad, Get Even/Aerosmith",,,,,,
5mUxZTSwm1vT2YmKh1v1Ek,I’m Not Angry/Elvis Costello,,,,,,
63G27PTar9LZQgKU2BKjx9,Angry World/Neil Young,,,,,,
5KiKFJdmU6m0QWxpW9xjOB,Mad Dog Cole/Slade,,,,,,
0LPMWPwCHrIorXSdpnPVyv,In The End/Linkin Park,,,,,,
